,relative_time,sensor_1,sensor_2
0,31.5375,-53.03038148710385,8.664868639869354
1,31.55,-6.2453308343985725,10.527774654516122
2,31.5625,10.336441695302234,12.515609774384975
3,31.575,1.954287901518903,4.320858126170712
4,31.5875,-9.48827500419739,-4.047693735661504
5,31.6,-2.6102637963956,-5.419920199028852
6,31.6125,12.33285342557224,0.3989269686848828
7,31.625,27.876535107575933,0.2307914116613929
8,31.6375,23.19961204261052,-3.1256309773593927
9,31.65,-2.2040326689066703,-6.900264623570926
10,31.6625,26.651221373527463,4.917368674681839
11,31.675,46.07792581027425,4.260943230604148
12,31.6875,-7.204577955672491,-4.32732301808894
13,31.7,-34.484923625894055,4.799423066820658
14,31.7125,-20.232648339344976,13.293599712495272
15,31.725,-14.793643163900825,-1.6854666062313228
16,31.7375,-18.72552327370844,-9.40040905147157
17,31.75,-1.6318707018888643,-18.114860029169364
18,31.7625,20.42053219990386,-37.5325919352218
19,31.775,30.348708808871336,-18.232798725857684
20,31.7875,47.02441881091964,12.820686088756617
21,31.8,1.910641127047548,10.672883195511533
22,31.8125,-57.11219478552472,25.375667749586803
23,31.825,-51.84828758937776,8.972553543535291
24,31.8375,-11.521855246338042,11.159462248180816
25,31.85,50.18387325119239,5.409253816109789
26,31.8625,-6.559567478263944,0.3275378373866644
27,31.875,-34.35755121449482,-1.9724959805268227
28,31.8875,-24.998382309342944,-1.6002242809061684
29,31.9,-3.917095060729281,1.4827378585929196
30,31.9125,17.538516140676705,-0.6670450148168783
31,31.925,17.187565412729704,0.1172621714570354
32,31.9375,5.0668792345827285,-4.247868553609067
33,31.95,9.38099242144748,-0.0562586170972423
34,31.9625,42.10450887612531,6.279653589515988
35,31.975,37.68414627860739,3.101912843066863
36,31.9875,-27.65820313853638,3.2560411813700085
37,32.0,-40.25050683121727,0.401928874519406
38,32.0125,-16.57812344704766,-6.295310154942904
39,32.025,-26.849476634413847,-20.190715767968364
40,32.0375,22.414946172554306,-29.14641797471191
41,32.05,11.5164326777467,-11.37575296834772
42,32.0625,27.26008519015732,-7.889912099009777
43,32.075,-23.660936899207883,8.707365645703433
44,32.0875,-13.175253630940064,13.807973705898
45,32.1,-27.18511947192802,12.468907765435162
46,32.1125,-43.31229955735708,14.5163473279473
47,32.125,-8.565553946116804,12.056945136334464
48,32.1375,27.09968578760746,11.3296722200338
49,32.15,28.230602461267686,1.7140417742878
50,32.1625,39.25522685445525,0.1549557660189648
51,32.175,42.63308473705262,-3.659400176736192
52,32.1875,23.571889047440955,-9.280656527983169
53,32.2,-25.709315157943777,-3.787596545964824
54,32.2125,26.481018270804206,10.642203037538174
55,32.225,6.268223151391084,18.39420817244481
56,32.2375,-7.318473807775412,-7.38692533906768
57,32.25,-86.5211037253692,2.125609354666196
58,32.2625,-23.155845433320827,-6.636470484123933
59,32.275,-12.22965473041512,-18.10906300946513
60,32.2875,17.107274093794906,-13.941022920376938
61,32.3,38.52092701450793,-35.97564501275464
62,32.3125,29.82435181594308,-23.26816079961052
63,32.325,56.05923141362336,26.33509781697068
64,32.3375,-3.5720231525426627,20.08829178216693
65,32.35,-82.34048479866597,19.099688553476888
66,32.3625,-26.614651112616023,13.37726456459002
67,32.375,12.37167934964905,11.883484793333745
68,32.3875,26.518090147214544,-1.5543509716475867
69,32.4,10.12901090417568,-3.768169170335476
70,32.4125,-28.87196033949607,-3.1477640698420477
71,32.425,-22.34880435915173,-0.1450052580914729
72,32.4375,6.1761113564655545,-0.6307262527940694
73,32.45,-1.1560361882141024,-4.933637622785518
74,32.4625,-8.06739023636407,-1.7717522068224056
75,32.475,7.033539428750579,1.746467427660647
76,32.4875,31.47567878086342,4.259298484697354
77,32.5,-14.694061858903034,4.668450534699744
78,32.5125,-24.81846354930489,9.235383659819476
79,32.525,-2.621857281516178,-6.810033699431628
80,32.5375,-6.63234967868501,-16.89622776115023
81,32.55,18.679771254145017,-27.606262838469
82,32.5625,64.42405316116651,-16.021587888251183
83,32.575,30.19047512402416,4.273778180081393
84,32.5875,11.14550128711933,-0.0663986366938118
85,32.6,-73.54259276208772,10.026324788300832
86,32.6125,-13.302081177272385,7.80898865851924
87,32.625,-11.925803159708757,6.693150507362624
88,32.6375,-32.73906871229805,11.123463985102298
89,32.65,-37.633062418122165,15.575258024199208
90,32.6625,3.6635925911635248,3.045352915517512
91,32.675,19.880205232810635,-1.9298143115588215
92,32.6875,20.950511293778824,-2.659776156075644
93,32.7,26.09107466876317,-4.486059623384762
94,32.7125,31.646035211803717,-3.243818253263377
95,32.725,-1.4375613559657552,4.424172942938256
96,32.7375,8.278310538937497,3.779724835680831
97,32.75,4.768314730592849,-0.6657914441024815
98,32.7625,-0.2743497468972578,1.505179565085868
99,32.775,-6.0095622077990285,2.0317767932971265
100,32.7875,-15.798947740263074,1.6166380307581107
101,32.8,-5.960737113029992,-0.2813101122616501
102,32.8125,21.27301940614529,-0.1287597755841218
103,32.825,-8.254657602777797,4.774578482650433
104,32.8375,-32.4950944429127,2.5905967288023746
105,32.85,-12.270081939946849,-2.856651797984213
106,32.8625,-7.031883952537079,-8.74987872934355
107,32.875,-5.084835004131136,-9.049591901582232
108,32.8875,1.825708485212836,-24.562024992098262
109,32.9,17.541135111348325,-18.73375496014571
110,32.9125,37.18111275725125,0.7889566966873574
111,32.925,9.11605006840663,-5.726722928339534
112,32.9375,-25.724553649747826,2.753773822028869
113,32.95,-26.052338347728288,14.028519299669178
114,32.9625,-29.410140167972152,20.20293503469677
115,32.975,-28.346573477044537,14.342223548024862
