,subject,task,sensor,start,stop,length,outliers,extended,continuous,fixed,final_start,final_stop,Start_dif,Stop_dif,Start_dif_1s,Start_dif_notes,Stop_dif_1s,Stop_dif_notes,pair_start,pair_stop
38,PDMotion_0025_Retest,LA,left_1,37.9625,58.65,20.6875,True,-1.0,3,chunk,45.85,58.65,0.425,0.225,0,,0,,45.425,58.65
39,PDMotion_0025_Retest,LA,left_2,5.7875,58.425,52.6375,True,-1.0,3,chunk,45.425,58.425,0.425,0.225,0,,0,,45.425,58.65
40,PDMotion_0001_Test,PS,right_1,15.2875,26.4375,11.15,False,-1.0,-1,regular,15.2875,26.4375,0.025,1.125,0,,0,,15.2875,26.4375
41,PDMotion_0001_Test,PS,right_2,15.3125,24.4375,9.125,False,25.3125,-1,extended,15.3125,25.3125,0.025,1.125,0,,0,,15.2875,26.4375
42,PDMotion_0001_Test,PS,left_1,40.0625,49.0375,8.975,False,50.0625,-1,extended,40.0625,50.0625,0.15,0.15,0,,0,,39.9125,50.0625
43,PDMotion_0001_Test,PS,left_2,39.9125,48.9875,9.075,False,49.9125,-1,extended,39.9125,49.9125,0.15,0.15,0,,0,,39.9125,50.0625
44,PDMotion_0001_Test,HM,right_1,11.3375,17.1,5.7625,False,21.3375,-1,extended,11.3375,21.3375,0.025,0.025,0,,0,,11.3125,21.3375
45,PDMotion_0001_Test,HM,right_2,11.3125,17.075,5.7625,False,21.3125,-1,extended,11.3125,21.3125,0.025,0.025,0,,0,,11.3125,21.3375
46,PDMotion_0001_Test,HM,left_1,25.425,31.475,6.05,False,35.425,-1,extended,25.425,35.425,0.0,0.0,0,,0,,25.425,35.425
47,PDMotion_0001_Test,HM,left_2,25.425,31.4,5.975,False,35.425,-1,extended,25.425,35.425,0.0,0.0,0,,0,,25.425,35.425
48,PDMotion_0001_Test,FT,right_1,9.65,15.95,6.3,False,19.65,-1,extended,9.65,19.65,0.0,0.0,0,,0,,9.65,19.65
49,PDMotion_0001_Test,FT,right_2,9.325,41.2625,31.9375,True,-1.0,3,pair,9.65,19.65,0.0,0.0,0,,0,,9.65,19.65
50,PDMotion_0001_Test,FT,left_1,30.1,36.025,5.925,False,40.1,-1,extended,30.1,40.1,1.7875,0.8375,0,,0,,28.3125,40.9375
51,PDMotion_0001_Test,FT,left_2,28.3125,40.9375,12.625,False,-1.0,-1,regular,28.3125,40.9375,1.7875,0.8375,0,,0,,28.3125,40.9375
52,PDMotion_0001_Test,TT,right_1,21.6375,25.6875,4.05,False,31.6375,-1,extended,21.6375,31.6375,0.0125,0.0125,0,,0,,21.625,31.6375
53,PDMotion_0001_Test,TT,right_2,21.625,25.6875,4.0625,False,31.625,-1,extended,21.625,31.625,0.0125,0.0125,0,,0,,21.625,31.6375
54,PDMotion_0001_Test,TT,left_1,29.45,33.4,3.95,False,39.45,-1,extended,29.45,39.45,0.0,0.0,0,,0,,29.45,39.45
55,PDMotion_0001_Test,TT,left_2,29.45,33.425,3.975,False,39.45,-1,extended,29.45,39.45,0.0,0.0,0,,0,,29.45,39.45
56,PDMotion_0001_Test,LA,right_1,15.35,19.4875,4.1375,False,25.35,-1,extended,15.35,25.35,0.0,0.0,0,,0,,15.35,25.35
57,PDMotion_0001_Test,LA,right_2,15.35,19.55,4.2,False,25.35,-1,extended,15.35,25.35,0.0,0.0,0,,0,,15.35,25.35
58,PDMotion_0001_Test,LA,left_1,26.0125,30.4125,4.4,False,36.0125,-1,extended,26.0125,36.0125,0.0,0.0,0,,0,,26.0125,36.0125
59,PDMotion_0001_Test,LA,left_2,26.0125,30.4125,4.4,False,36.0125,-1,extended,26.0125,36.0125,0.0,0.0,0,,0,,26.0125,36.0125
60,PDMotion_0015_Test,PS,right_1,10.95,22.3,11.35,False,-1.0,-1,regular,10.95,22.3,4.95,0.0,1,1.0,0,,10.95,22.3
61,PDMotion_0015_Test,PS,right_2,6.0,22.3,16.3,False,-1.0,-1,regular,6.0,22.3,4.95,0.0,1,1.0,0,,10.95,22.3
62,PDMotion_0015_Test,PS,left_1,50.0,61.225,11.225,False,-1.0,-1,regular,50.0,61.225,0.025,0.0375,0,,0,,50.0,61.225
63,PDMotion_0015_Test,PS,left_2,50.025,61.1875,11.1625,False,-1.0,-1,regular,50.025,61.1875,0.025,0.0375,0,,0,,50.0,61.225
64,PDMotion_0015_Test,HM,right_1,12.2125,21.4875,9.275,False,22.2125,-1,extended,12.2125,22.2125,0.2,0.475,0,,0,,12.2125,22.6875
65,PDMotion_0015_Test,HM,right_2,12.4125,22.6875,10.275,False,-1.0,-1,regular,12.4125,22.6875,0.2,0.475,0,,0,,12.2125,22.6875
66,PDMotion_0015_Test,HM,left_1,34.3,43.5375,9.2375,False,44.3,-1,extended,34.3,44.3,0.2125,0.2125,0,,0,,34.3,44.5125
67,PDMotion_0015_Test,HM,left_2,34.5125,44.2375,9.725,False,44.5125,-1,extended,34.5125,44.5125,0.2125,0.2125,0,,0,,34.3,44.5125
68,PDMotion_0015_Test,FT,right_1,10.125,21.6375,11.5125,False,-1.0,-1,regular,10.125,21.6375,3.0375,0.0375,1,1.0,0,,10.125,21.6375
69,PDMotion_0015_Test,FT,right_2,7.0875,21.6,14.5125,False,-1.0,-1,regular,7.0875,21.6,3.0375,0.0375,1,1.0,0,,10.125,21.6375
70,PDMotion_0015_Test,FT,left_1,38.0625,45.3,7.2375,False,48.0625,-1,extended,38.0625,48.0625,5.1,1.8375,1,1.0,0,,38.0625,48.0625
71,PDMotion_0015_Test,FT,left_2,32.9625,46.225,13.2625,False,-1.0,-1,regular,32.9625,46.225,5.1,1.8375,1,1.0,0,,38.0625,48.0625
72,PDMotion_0015_Test,TT,right_1,6.125,17.2375,11.1125,False,-1.0,-1,regular,6.125,17.2375,0.0375,0.025,0,,0,,6.0875,17.2375
73,PDMotion_0015_Test,TT,right_2,6.0875,17.2125,11.125,False,-1.0,-1,regular,6.0875,17.2125,0.0375,0.025,0,,0,,6.0875,17.2375
74,PDMotion_0015_Test,TT,left_1,31.125,41.9,10.775,False,-1.0,-1,regular,31.125,41.9,0.0,0.775,0,,0,,31.125,41.9
75,PDMotion_0015_Test,TT,left_2,31.125,40.9125,9.7875,False,41.125,-1,extended,31.125,41.125,0.0,0.775,0,,0,,31.125,41.9
76,PDMotion_0015_Test,LA,right_1,5.925,15.25,9.325,False,15.925,-1,extended,5.925,15.925,0.0125,0.0125,0,,0,,5.9125,15.925
77,PDMotion_0015_Test,LA,right_2,5.9125,15.5875,9.675,False,15.9125,-1,extended,5.9125,15.9125,0.0125,0.0125,0,,0,,5.9125,15.925
78,PDMotion_0015_Test,LA,left_1,9.725,34.125,24.4,True,-1.0,3,chunk_extend,24.5375,34.5375,0.2,0.2,0,,0,,24.5375,34.7375
