,relative_time,resulant,derivative,abs_derivative,rms,normalize,threshold,normalize_no_rms,threshold_no_rms
0,0.0,2.7327151028707597,-0.11349293815502648,0.11349293815502648,0.08880621520812153,0.0024256792579604356,0.0,0.0017829766686882486,0.0
1,0.0125,2.731296441143822,0.10433191170669431,0.10433191170669431,0.07922413131873779,0.0021084667724170334,0.0,0.0016390567324865721,0.0
2,0.025,2.7326005900401555,-0.1134540491738889,0.1134540491738889,0.07423797288736304,0.001943401247256901,0.0,0.0017823657219001529,0.0
3,0.0375,2.731182414425482,0.06386878415781894,0.06386878415781894,0.07605504655072091,0.002003555015458389,0.0,0.0010033800680649073,0.0
4,0.05,2.7319807742274547,-0.11863143800990628,0.11863143800990628,0.07506490676141261,0.001970776685897959,0.0,0.0018637026195909732,0.0
5,0.0625,2.730497881252331,0.05877818712534122,0.05877818712534122,0.07506490676141263,0.0019707766858979596,0.0,0.000923406671603857,0.0
6,0.075,2.7312326085913976,0.0690163556458856,0.0690163556458856,0.07353229270314075,0.0019200398816270415,0.0,0.00108424853453364,0.0
7,0.0875,2.732095313036971,-0.00916310476132054,0.00916310476132054,0.07855734616624731,0.0020863930170641628,0.0,0.00014395258654652381,0.0
8,0.1,2.7319807742274547,0.0,0.0,0.08672603300406359,0.0023568153474635293,0.0,0.0,0.0
9,0.1125,2.7319807742274547,-0.06901925008360621,0.06901925008360621,0.08885878816890332,0.002427419672650443,0.0,0.0010842940062168011,0.0
10,0.125,2.7311180336014096,0.1227052124940542,0.1227052124940542,0.08837846192398079,0.0024115185926993046,0.0,0.0019277017104314244,0.0
11,0.1375,2.7326518487575853,-0.053685962410447985,0.053685962410447985,0.07896830336186303,0.002099997652024376,0.0,0.000843407704214623,0.0
12,0.15,2.7319807742274547,-0.11863143800990628,0.11863143800990628,0.0970170113662116,0.0026974956068533565,0.0,0.0018637026195909732,0.0
13,0.1625,2.730497881252331,-0.04040962789222391,0.04040962789222391,0.1339355803689446,0.003919675580568417,0.0,0.0006348361835852086,0.0
14,0.175,2.729992760903678,0.10429441921150584,0.10429441921150584,0.14798851231217636,0.004384894370379233,0.0,0.0016384677245248553,0.0
15,0.1875,2.731296441143822,0.10433191170669431,0.10433191170669431,0.14403381111114832,0.004253974978309471,0.0,0.0016390567324865721,0.0
16,0.2,2.7326005900401555,-0.05473422579878928,0.05473422579878928,0.142615621433471,0.004207026164479273,0.0,0.0008598759461549243,0.0
17,0.2125,2.7319164122176707,0.06389525224712145,0.06389525224712145,0.14602667384157597,0.004319948199517245,0.0,0.0010037958823566008,0.0
18,0.225,2.7327151028707597,-0.049583186703081594,0.049583186703081594,0.17117484909130606,0.0051524722381229016,0.0,0.0007789530034903982,0.0
19,0.2375,2.732095313036971,-0.16820417066345072,0.16820417066345072,0.17041201806764442,0.005127218908277457,0.0,0.0026424913897227058,0.0
20,0.25,2.729992760903678,0.2868535020510876,0.2868535020510876,0.1597788899980391,0.0047752118685772706,0.0,0.004506475114689364,0.0
21,0.2625,2.7335784296793166,-0.18255908283958178,0.18255908283958178,0.12834416045862126,0.0037345730258479745,0.0,0.002868007390164509,0.0
22,0.275,2.731296441143822,0.04047761867145283,0.04047761867145283,0.11098079443589796,0.0031597631455493637,0.0,0.0006359043202906441,0.0
23,0.2875,2.731802411377215,0.08736682247626248,0.08736682247626248,0.11005422314458949,0.0031290892351826674,0.0,0.0013725347904891213,0.0
24,0.3,2.7328944966581683,0.10427093288555511,0.10427093288555511,0.1080191521477773,0.0030617187198951415,0.0,0.0016380987538039972,0.0
25,0.3125,2.7341978833192377,-0.2605742104762143,0.2605742104762143,0.10158582480679768,0.002848745030695086,0.0,0.004093626839639402,0.0
26,0.325,2.730940705688285,0.0193366989757493,0.0193366989757493,0.062240187775336145,0.0015462175781994548,0.0,0.0003037799856420583,0.0
27,0.3375,2.731182414425482,0.014315911620492727,0.014315911620492727,0.07576962828679776,0.0019941063153672894,0.0,0.00022490330081573483,0.0
28,0.35,2.731361363320738,0.09913813755339618,0.09913813755339618,0.08412204330765738,0.0022706109212174185,0.0,0.0015574624210844181,0.0
29,0.3625,2.7326005900401555,0.009161026448332166,0.009161026448332166,0.08491200045374953,0.0022967622545471437,0.0,0.00014391993620167646,0.0
