,relative_time,resulant,derivative,abs_derivative,rms,normalize,threshold,normalize_no_rms,threshold_no_rms
0,0.0,2.8528443159773142,-0.026410354743795494,0.026410354743795494,0.15538577231174105,0.034533482065807045,0.0,0.003064283793861072,0.0
1,0.0125,2.852514186543017,-0.2737486748827678,0.2737486748827678,0.16137859031870597,0.03613334320526377,0.0,0.031761922025347875,0.0
2,0.025,2.849092328106982,0.19410211268379385,0.19410211268379385,0.14030706507610638,0.03050802397388771,0.0,0.02252086213991033,0.0
3,0.0375,2.8515186045155296,-0.2015708797066651,0.2015708797066651,0.28493948374913414,0.06911953960337723,0.0,0.02338743216406667,0.0
4,0.05,2.8489989685191963,0.01828444678395158,0.01828444678395158,0.3015334704185637,0.07354952135657396,0.0,0.0021214684355173492,0.0
5,0.0625,2.8492275241039957,-0.029561284256729436,0.029561284256729436,0.3112490410544503,0.07614321999550089,0.0,0.003429873061243039,0.0
6,0.075,2.8488580080507866,-0.16277080524961463,0.16277080524961463,0.35352168360657776,0.08742845475529049,0.0,0.01888562063927925,0.0
7,0.0875,2.8468233729851664,0.10729905312174992,0.10729905312174992,0.3653636314394431,0.09058981759515254,0.0,0.012449463582266321,0.0
8,0.1,2.8481646111491883,0.1260317271498934,0.1260317271498934,0.3757208110806902,0.09335480214885426,0.0,0.014622937963696491,0.0
9,0.1125,2.849740007738562,-0.15518544318400274,0.15518544318400274,0.37339566124228396,0.09273407299179377,0.0,0.01800552257646608,0.0
10,0.125,2.847800189698762,-0.7278125619003362,0.7278125619003362,0.3699748669191474,0.09182084721098417,0.0,0.084445069369,0.0
11,0.1375,2.8387025326750077,0.3442182659494364,0.3442182659494364,0.2678148895527153,0.06454790523170509,0.0,0.039938216057003754,0.0
12,0.15,2.8430052609993757,0.21900359629789534,0.21900359629789534,0.23881536603746484,0.05680610318116898,0.0,0.025410077882069736,0.0
13,0.1625,2.8457428059530994,0.47506503903004926,0.47506503903004926,0.22764235178175896,0.053823320907867005,0.0,0.055119823805916464,0.0
14,0.175,2.851681118940975,0.3075684545435564,0.3075684545435564,0.1801948487842848,0.04115658947672849,0.0,0.035685890625233994,0.0
15,0.1875,2.8555257246227694,-0.2700323025212725,0.2700323025212725,0.17214893496534356,0.039008627560417744,0.0,0.03133072677220731,0.0
16,0.2,2.8521503208412535,0.04415350373221827,0.04415350373221827,0.1444296395836097,0.031608599152610654,0.0,0.0051229476938626185,0.0
17,0.2125,2.8527022396379063,0.061148837392401845,0.061148837392401845,0.14367508901774162,0.03140716201123836,0.0,0.007094845686576888,0.0
18,0.225,2.8534666001053113,-0.09196971552782429,0.09196971552782429,0.2128497575247184,0.049874244417293635,0.0,0.010670864195193456,0.0
19,0.2375,2.8523169786612135,0.030820878135422447,0.030820878135422447,0.21937107509776102,0.0516151954274931,0.0,0.003576018508616568,0.0
20,0.25,2.8527022396379063,0.0791749035009559,0.0791749035009559,0.22023291484801422,0.051845274819736734,0.0,0.009186335285234671,0.0
21,0.2625,2.853691925931668,-0.26623286224264575,0.26623286224264575,0.2184965235967885,0.051381722467154015,0.0,0.0308898934935754,0.0
