,relative_time,resulant,derivative,abs_derivative,rms,normalize,threshold,normalize_no_rms,threshold_no_rms
0,0.0,2.9094764376287867,0.0016389047640430476,0.0016389047640430476,0.103860260283986,0.0013467599834013813,0.0,1.8837440506790112e-05,0.0
1,0.0125,2.9094969239383373,-0.18061528673328553,0.18061528673328553,0.11819103688229335,0.0016808770984374085,0.0,0.002075977685281619,0.0
2,0.025,2.907239232854171,0.1168738742855524,0.1168738742855524,0.09946289137167055,0.0012442368434547656,0.0,0.001343338979759249,0.0
3,0.0375,2.9087001562827406,0.10301021708215785,0.10301021708215785,0.09896316792969488,0.0012325859637132932,0.0,0.0011839912107459803,0.0
4,0.05,2.9099877839962676,0.013886911859373186,0.013886911859373186,0.0920180444465477,0.0010706628044315986,0.0,0.0001596150561724216,0.0
5,0.0625,2.9101613703945097,-0.06540680888722505,0.06540680888722505,0.10948272052577562,0.0014778457052744998,0.0,0.0007517806392316585,0.0
6,0.075,2.9093437852834194,0.0016799538292033844,0.0016799538292033844,0.13484839520009756,0.002069237664041611,0.0,1.9309255184361507e-05,0.0
7,0.0875,2.9093647847062845,0.15788202871444668,0.15788202871444668,0.137383269771687,0.002128337390635471,0.0,0.0018146834326497813,0.0
8,0.1,2.911338310065215,-0.15956198254365006,0.15956198254365006,0.1331783352541438,0.0020303007922502247,0.0,0.0018339926878341427,0.0
9,0.1125,2.9093437852834194,0.0034418435983951667,0.0034418435983951667,0.1462513544608618,0.002335093727385024,0.0,3.9560275521136004e-05,0.0
10,0.125,2.9093868083283994,0.11342943737787436,0.11342943737787436,0.16769274343581902,0.002834992318193016,0.0,0.001303748896948267,0.0
11,0.1375,2.910804676295623,0.0,0.0,0.16352314760856912,0.0027377796291869266,0.0,0.0,0.0
12,0.15,2.910804676295623,0.16836273649669664,0.16836273649669664,0.17694435549818863,0.0030506904634056446,0.0,0.0019351478511130864,0.0
13,0.1625,2.9129092105018315,-0.23207550366926455,0.23207550366926455,0.17069273292574086,0.0029049360387328697,0.0,0.002667457310129763,0.0
14,0.175,2.9100082667059657,0.0743196289402448,0.0743196289402448,0.1519607580203912,0.0024682065027325723,0.0,0.0008542238813162702,0.0
15,0.1875,2.9109372620677187,-0.12579818891474304,0.12579818891474304,0.15712681929255157,0.0025886514399983897,0.0,0.0014459143395846351,0.0
16,0.2,2.9093647847062845,0.233845983240748,0.233845983240748,0.1595623764648818,0.0026454356156738654,0.0,0.002687807060968263,0.0
17,0.2125,2.912287859496794,-0.23208409347155623,0.23208409347155623,0.14371558319896863,0.002275973094765918,0.0,0.0026675560406314884,0.0
18,0.225,2.9093868083283994,-0.042637378978085394,0.042637378978085394,0.11826384095999229,0.0016825745004055963,0.0,0.0004900706297806885,0.0
19,0.2375,2.9088538410911733,-0.1911959233635585,0.1911959233635585,0.12565996748179584,0.0018550126400245146,0.0,0.0021975906779457223,0.0
20,0.25,2.906463892049129,0.10468831877801676,0.10468831877801676,0.1074818539153581,0.001431196190165627,0.0,0.0012032791776575558,0.0
21,0.2625,2.907772496033854,0.07421281991092599,0.07421281991092599,0.14266665810598728,0.0022515177678998763,0.0,0.0008529962268609755,0.0
22,0.275,2.9087001562827406,0.1352683634436147,0.1352683634436147,0.14140747603751885,0.0022221603721484513,0.0,0.0015547637695151795,0.0
23,0.2875,2.9103910108257858,0.14830947869654665,0.14830947869654665,0.19850453194366247,0.003553358543129968,0.0,0.0017046573070220643,0.0
24,0.3,2.9122448793094926,-0.1274208728844073,0.1274208728844073,0.19277748951694756,0.0034198345236759967,0.0,0.001464565339575913,0.0
25,0.3125,2.9106521183984375,0.02281149354249834,0.02281149354249834,0.23837709778543947,0.004482973667387233,0.0,0.0002621934854944094,0.0
