,relative_time,resulant,derivative,abs_derivative,rms,normalize,threshold,normalize_no_rms,threshold_no_rms
0,0.0,2.804145324922454,-0.12697619624031375,0.12697619624031375,0.08785839079307387,0.005733414120561317,0.0,0.008715177679387282,0.0
1,0.0125,2.80255812246945,0.06347582262538509,0.06347582262538509,0.08647662213289004,0.005588651994138074,0.0,0.004356746295018291,0.0
2,0.025,2.8033515702522673,0.007909295826706852,0.007909295826706852,0.08579873696890078,0.005517632799219586,0.0,0.0005428648871960901,0.0
3,0.0375,2.803450436450101,-0.07138511845209194,0.07138511845209194,0.09150819283790679,0.006115788623803866,0.0,0.004899611182214381,0.0
4,0.05,2.80255812246945,-0.04911305826663437,0.04911305826663437,0.08810543293154761,0.005759295692717431,0.0,0.00337093913540878,0.0
5,0.0625,2.801944209241117,-0.04120881853790337,0.04120881853790337,0.08858753360993046,0.005809803365502183,0.0,0.0028284212801251954,0.0
6,0.075,2.8014290990093933,-0.06351939503918658,0.06351939503918658,0.08908788094186965,0.00586222266390491,0.0,0.0043597369447577194,0.0
7,0.0875,2.8006351065714035,0.16821793998182955,0.16821793998182955,0.08638819397930543,0.005579387746136613,0.0,0.011545858824023375,0.0
8,0.1,2.8027378308211763,0.11914625111092647,0.11914625111092647,0.09880431214448994,0.0068801725441325675,0.0,0.008177759131320884,0.0
9,0.1125,2.804227158960063,-0.05563197621441418,0.05563197621441418,0.08937456827376739,0.005892257697250217,0.0,0.0038183736142675035,0.0
10,0.125,2.8035317592573827,0.09033917028887117,0.09033917028887117,0.10686808202077308,0.00772498000569646,0.0,0.006200547376500867,0.0
11,0.1375,2.8046609988859936,0.01436588950209483,0.01436588950209483,0.1093108160776073,0.007980895041652442,0.0,0.000986021657919618,0.0
12,0.15,2.80484057250477,-0.05561980658526977,0.05561980658526977,0.15269626681492834,0.012526207354445736,0.0,0.0038175383358182652,0.0
13,0.1625,2.804145324922454,-0.04908525320569623,0.04908525320569623,0.15863023028020162,0.01314788390139862,0.0,0.0033690306986022198,0.0
14,0.175,2.8035317592573827,-0.015648315324376938,0.015648315324376938,0.16006484490455464,0.013298182478579836,0.0,0.0010740426353370723,0.0
15,0.1875,2.803336155315828,-0.2160838995539649,0.2160838995539649,0.17972425060065297,0.01535781623261634,0.0,0.014831201705739684,0.0
16,0.2,2.8006351065714035,0.0,0.0,0.16337147645029967,0.013644604443162926,0.0,0.0,0.0
17,0.2125,2.8006351065714035,0.174810482474399,0.174810482474399,0.18275935269694601,0.015675791191834598,0.0,0.011998346620026608,0.0
