,relative_time,resulant,derivative,abs_derivative,rms,normalize,threshold,normalize_no_rms,threshold_no_rms
0,0.0,2.953834710797243,0.1574022388009766,0.1574022388009766,0.20108766786685045,0.0024364859108673476,0.0,0.00098971334657027,0.0
1,0.0125,2.955802238782255,-0.15925868961705447,0.15925868961705447,0.20870236742251844,0.0025431611715021857,0.0,0.0010013863326975305,0.0
2,0.025,2.953811505162042,-0.1763284130980125,0.1763284130980125,0.20100389730133109,0.002435312358733744,0.0,0.0011087172911391665,0.0
3,0.0375,2.951607399998317,0.3975066381370951,0.3975066381370951,0.19109299797041285,0.0022964693536325926,0.0,0.0024994411014192053,0.0
4,0.05,2.9565762329750305,-0.15736100545321818,0.15736100545321818,0.13071124372546064,0.0014505739477036108,0.0,0.0009894540796442648,0.0
5,0.0625,2.9546092204068652,0.16683602646970996,0.16683602646970996,0.11993357742221997,0.001299588297708041,0.0,0.0010490310896695983,0.0
6,0.075,2.9566946707377366,-0.12389066471094168,0.12389066471094168,0.10617746700557563,0.0011068772585804553,0.0,0.0007789993669335317,0.0
7,0.0875,2.95514603742885,0.1276805668464931,0.1276805668464931,0.1048378864552083,0.001088110910242335,0.0,0.0008028295027328906,0.0
8,0.1,2.956742044514431,-0.22302217104279265,0.22302217104279265,0.1018686707964162,0.0010465148036635898,0.0,0.0014023181686838877,0.0
9,0.1125,2.953954267376396,-0.011420977148333122,0.011420977148333122,0.06833243345082433,0.0005767015387541553,0.0,7.181278742084336e-05,0.0
10,0.125,2.953811505162042,0.0018564508160778814,0.0018564508160778814,0.09060845820424954,0.00088876910348308,0.0,1.167298612726053e-05,0.0
11,0.1375,2.953834710797243,0.05062302111241479,0.05062302111241479,0.09814584396246702,0.0009943612656406363,0.0,0.0003183072872426934,0.0
12,0.15,2.954467498561148,0.05613872187293367,0.05613872187293367,0.09650010571904273,0.0009713059166054496,0.0,0.0003529888946960396,0.0
13,0.1625,2.9551692325845598,-0.05432303176029052,0.05432303176029052,0.09447618190477085,0.000942952519493176,0.0,0.00034157220360315875,0.0
14,0.175,2.954490194687556,0.11440070059190788,0.11440070059190788,0.09384480158508343,0.000934107435104754,0.0,0.0007193283977108089,0.0
15,0.1875,2.955920203444955,-0.10673460721672967,0.10673460721672967,0.08746976223289168,0.0008447987264051176,0.0,0.0006711255577304876,0.0
