,relative_time,resulant,derivative,abs_derivative,rms,normalize,threshold,normalize_no_rms,threshold_no_rms
0,0.0,2.891361297447637,-0.2122642387304552,0.2122642387304552,0.15518520233113284,0.0009356892160912151,0.0,0.0008370525107108919,0.0
1,0.0125,2.8887079944635063,0.10392905518685325,0.10392905518685325,0.1359051451163597,0.0007895876119643667,0.0,0.00040983859127790347,0.0
2,0.025,2.890007107653342,0.008455846841961545,0.008455846841961545,0.15238776238712956,0.0009144906035189334,0.0,3.3345173315975734e-05,0.0
3,0.0375,2.8901128057388665,-0.29826584794626854,0.29826584794626854,0.15346826381101678,0.0009226784937068477,0.0,0.0011761951913142302,0.0
4,0.05,2.886384482639538,0.17308771699003245,0.17308771699003245,0.12863118122139766,0.0007344665206949683,0.0,0.0006825620224408314,0.0
5,0.0625,2.8885480791019136,0.11672228411427454,0.11672228411427454,0.12094668755759809,0.0006762344916777801,0.0,0.0004602879955574231,0.0
6,0.075,2.890007107653342,0.06468967341074716,0.06468967341074716,0.12094797783037244,0.0006762442691862176,0.0,0.00025510021786710133,0.0
7,0.0875,2.8908157285709764,0.0,0.0,0.1421427900776795,0.00083685562183958,0.0,0.0,0.0
8,0.1,2.8908157285709764,-0.012577703135825402,0.012577703135825402,0.14761416677450068,0.0008783169569011439,0.0,4.959949001201373e-05,0.0
9,0.1125,2.8906585072817785,-0.22094302831746404,0.22094302831746404,0.14887804582770778,0.0008878944573742437,0.0,0.0008712768466479608,0.0
10,0.125,2.8878967194278102,0.05210877392826774,0.05210877392826774,0.1267757189341307,0.0007204060843826291,0.0,0.0002054881232354501,0.0
11,0.1375,2.8885480791019136,0.1814119575250217,0.1814119575250217,0.1255114535763777,0.0007108256565471668,0.0,0.0007153882134245244,0.0
12,0.15,2.8908157285709764,-0.1208979791508824,0.1208979791508824,0.10897497785762073,0.0005855145331307988,0.0,0.0004767546224148756,0.0
13,0.1625,2.8893045038315903,0.11673297944309269,0.11673297944309269,0.10318137208774215,0.0005416113907682733,0.0,0.0004603301720064267,0.0
14,0.175,2.890763666074629,-0.22089370585074874,0.22089370585074874,0.09580502249257745,0.0004857144348386914,0.0,0.0008710823461760706,0.0
15,0.1875,2.8880024947514946,0.11261862941672973,0.11261862941672973,0.055511804063573235,0.00018037800443638778,0.0,0.00044410545586908513,0.0
16,0.2,2.8894102276192037,-0.05617865245579168,0.05617865245579168,0.041635606637602324,7.522610159028149e-05,0.0,0.0002215374684295705,0.0
17,0.2125,2.8887079944635063,-0.008666303502700146,0.008666303502700146,0.041661163351951684,7.54197668331311e-05,0.0,3.417509774093164e-05,0.0
18,0.225,2.8885996656697226,0.012793000469919491,0.012793000469919491,0.041787420781954535,7.637652815654747e-05,0.0,5.044850336975444e-05,0.0
19,0.2375,2.8887595781755966,0.043470275991417395,0.043470275991417395,0.05861007189114504,0.00020385624905881552,0.0,0.0001714226752350754,0.0
20,0.25,2.8893029566254893,0.06916009931664746,0.06916009931664746,0.08328395080881024,0.0003908314872412158,0.0,0.0002727290999193091,0.0
21,0.2625,2.8901674578669474,0.04340786565606436,0.04340786565606436,0.08901336952309304,0.00043424822898354326,0.0,0.00017117656346319138,0.0
22,0.275,2.890710056187648,-0.0042063914690970705,0.0042063914690970705,0.10777211144013937,0.0005763993779636409,0.0,1.6587676573780767e-05,0.0
23,0.2875,2.8906574762942845,-0.0435736444334367,0.0435736444334367,0.1254342697407582,0.0007102407681274358,0.0,0.00017183030307873871,0.0
24,0.3,2.8901128057388665,-0.05633002153206945,0.05633002153206945,0.12449403854050047,0.0007031158262728801,0.0,0.00022213438417053615,0.0
25,0.3125,2.8894086804697157,-0.012625087982343075,0.012625087982343075,0.14803902346157233,0.000881536462051659,0.0,4.978634958376494e-05,0.0
26,0.325,2.8892508668699364,0.11694133910999938,0.11694133910999938,0.14800164860699638,0.0008812532405784691,0.0,0.00046115182704996235,0.0
27,0.3375,2.8907126336088114,0.172911169033938,0.172911169033938,0.14311091239297202,0.000844191918702167,0.0,0.0006818658151531903,0.0
28,0.35,2.8928740232217356,-0.112607403263425,0.112607403263425,0.12940537368203806,0.0007403332439698247,0.0,0.00044406118614251437,0.0
